Date/Time,Wind Direction,Wind Speed
7/22/19 14:03,1.8,319.0
7/22/19 16:03,0.0,0.0
7/22/19 18:03,0.0,0.0
7/22/19 20:03,0.0,0.0
7/22/19 20:03,0.0,0.0
7/23/19 0:03,0.5,352.0
7/23/19 4:03,0.4,194.0
7/23/19 8:03,0.5,334.0
7/23/19 10:03,1.2,209.0
7/23/19 12:03,0.0,0.0
7/23/19 14:03,0.8,202.0
7/23/19 16:03,1.2,113.0
7/23/19 18:03,0.8,245.0
7/23/19 20:03,0.5,219.0
7/23/19 20:03,0.5,219.0
7/24/19 0:03,1.2,231.0
7/24/19 4:03,0.6,342.0
7/24/19 8:03,0.0,0.0
7/24/19 10:03,1.9,303.0
7/24/19 12:03,1.8,117.0
7/24/19 14:03,1.3,124.0
7/24/19 16:03,0.5,284.0
7/24/19 18:03,0.0,0.0
7/24/19 20:03,0.4,318.0
7/24/19 20:03,0.4,318.0
7/25/19 0:03,0.4,81.0
7/25/19 4:03,0.3,0.0
7/25/19 8:03,0.0,0.0
7/25/19 10:03,0.6,287.0
7/25/19 12:03,1.1,114.0
7/25/19 14:03,1.2,129.0
7/25/19 16:03,0.8,123.0
7/25/19 18:03,0.0,0.0
7/25/19 20:03,0.4,299.0
7/25/19 20:03,0.4,299.0
7/26/19 0:03,0.3,210.0
7/26/19 4:03,0.0,0.0
7/26/19 8:03,0.5,284.0
7/26/19 10:03,0.4,283.0
7/26/19 12:03,0.7,254.0
7/26/19 14:03,0.8,239.0
7/26/19 16:03,2.0,217.0
7/26/19 18:03,2.2,224.0
7/26/19 20:03,1.1,223.0
7/26/19 20:03,1.1,223.0
7/27/19 0:03,1.5,222.0
7/27/19 4:03,0.7,219.0
7/27/19 8:03,0.6,214.0
7/27/19 10:03,1.9,225.0
7/27/19 12:03,1.6,226.0
7/27/19 14:03,1.7,238.0
7/27/19 16:03,2.6,224.0
7/27/19 18:03,1.9,221.0
7/27/19 20:03,1.5,211.0
7/27/19 20:03,1.5,211.0
7/28/19 0:03,0.7,270.0
7/28/19 4:03,0.8,183.0
7/28/19 8:03,1.6,223.0
7/28/19 10:03,1.5,225.0
7/28/19 12:03,2.0,217.0
7/28/19 14:03,1.9,219.0
7/28/19 16:03,1.5,213.0
7/28/19 18:03,1.3,153.0
7/28/19 20:03,1.4,230.0
7/28/19 20:03,1.4,230.0
7/29/19 0:03,0.0,0.0
7/29/19 4:03,0.8,218.0
7/29/19 8:03,0.4,215.0
7/29/19 10:03,0.5,239.0
7/29/19 12:03,0.6,245.0
7/29/19 14:03,0.7,275.0
7/29/19 16:03,0.5,269.0
7/29/19 18:03,1.3,238.0
7/29/19 20:03,0.4,249.0
7/29/19 20:03,0.4,249.0
7/30/19 0:03,0.4,262.0
7/30/19 4:03,0.0,0.0
7/30/19 8:03,0.5,247.0
7/30/19 10:03,0.6,280.0
7/30/19 12:03,1.5,202.0
7/30/19 14:03,1.5,211.0
7/30/19 16:03,2.2,231.0
7/30/19 18:03,2.8,219.0
7/30/19 20:03,0.5,244.0
7/30/19 20:03,0.5,244.0
7/31/19 0:03,0.0,0.0
7/31/19 4:03,1.2,226.0
7/31/19 8:03,0.9,232.0
7/31/19 10:03,0.6,244.0
7/31/19 12:03,0.5,297.0
7/31/19 14:03,1.0,313.0
7/31/19 16:03,0.6,289.0
7/31/19 18:03,0.5,262.0
7/31/19 20:03,3.6,310.0
7/31/19 20:03,3.6,310.0
