24.7,0,203
26.3,0.4,239
26.9,0,0
25.7,0.5,138
25.5,0.4,0
26,0.6,274
24.5,0.8,46
25.4,0.7,111
24.9,0.3,0
26.6,0.3,127
26.2,1.2,118
24.5,1,141
25.9,1,197
25.2,0.8,115
26.9,0.3,0
28,0.4,0
27.6,0.6,242
28,0.6,230
28.9,1,287
26.7,1.1,317
26.5,1.2,301
28,0.6,223
27.5,1.1,294
28,1,292
27.6,1.2,299
29.4,0.7,213
28.3,1.2,234
28.3,0.6,199
28.6,1,296
28.8,1.2,236
29.2,0.9,287
29.8,0.8,258
29.6,0.6,289
30.6,0.8,272
28.8,1.2,303
29.4,1.1,320
29.6,1.2,311
29.5,1.3,320
29.1,1.5,317
28.9,1.4,325
29.3,1.3,314
29.5,1,310
29.1,1.2,306
29.2,0.5,306
29.3,0.6,312
29.3,0.5,304
27.5,1.9,316
26.9,1.2,309
26.4,1.8,306
25.4,1.4,309
24.1,1.3,311
23.2,1.1,323
23.1,1,324
22.9,1.6,321
23.7,2.6,308
24.4,2.3,308
22,0.9,340
21.8,0.5,19
21.7,0.5,346
21.8,0.9,341
22.2,1.4,338
22.5,2,320
22.4,3.1,316
21.6,0.9,316
21.4,0.7,331
21.1,1,220
20.7,0.7,222
20.3,0,0
20.2,0.6,202
20.8,2.2,225
20.6,0.9,219
20.3,1.1,222
20,0.9,238
19.9,1,223
19.6,0.8,235
19.5,1.6,228
19.4,0.7,229
19.4,0,0
19.1,0.4,0
19.2,0.7,0
19.3,0.6,0
19.5,1.3,208
19.4,0.8,160
19.4,1,220
19,1.1,221
19.2,0.8,211
19.1,1.1,210
19,0,0
18.8,0.9,192
18.9,0.8,197
19.3,1.5,223
19.8,1.4,212
20.4,0.6,208
21.5,0.7,137
22.5,0.8,198
21.9,1.3,211
22.3,1,203
24.4,0.5,271
23.6,3.3,306
23.4,2.7,311
23.6,2,305
24.1,2,309
24.4,3,311
24.6,1.6,307
25,2.6,314
25.1,2.7,306
25.5,2.2,311
25.9,2,314
26.8,0.4,0
27.6,0.7,293
28.3,0.4,284
27,1.1,312
27.6,1.2,295
28.4,0.8,271
27.9,0.7,295
27.8,0.5,273
27.3,0.8,316
27.1,0.8,272
27.6,0.8,318
27.5,2.3,312
27.2,2.1,312
27.8,0.8,317
27.5,1.9,314
27.8,0.9,322
27.2,2.2,310
27.3,4,309
27.8,2.5,305
27.9,2.5,313
28.2,2.5,310
28.6,2.9,307
28.7,2.2,304
29.1,1.8,311
28.8,5.3,309
28.9,2.1,310
29,2.3,312
28.7,3.3,309
28.4,2.5,308
28.4,2.2,308
28.1,1.9,310
28,1.5,302
28.1,0.9,317
27.5,1.2,317
26.9,2.2,307
26.5,2,309
26.6,2.3,311
26,2.1,313
25.5,2.2,313
24.9,1.5,321
24.7,1.9,315
24.3,0.9,328
24.1,0.7,325
24.1,0.9,331
23.8,0.8,335
23.5,0.4,317
23.1,0,0
22.6,1,203
22.5,1.1,228
22,1,220
21.5,1.1,229
21.1,0.4,227
21.1,1,226
21,1,227
21,1.3,226
21.3,1,225
21.3,1.4,217
21.4,2,225
21.3,1.5,204
21.2,0,227
21.1,0.8,143
21.2,0.8,196
21.5,0.9,232
21,0.3,185
20.5,0.7,99
20.2,1.1,111
20,0.9,148
19.9,0.6,305
19.8,0.4,347
19.1,0,0
18.7,0,0
18.3,0,0
18.4,0,28
18.3,0,0
18.1,1,324
18.1,0,0
17.8,0.6,339
18,0,0
18.4,0,0
19.1,0,113
20.2,0,0
21.4,0.6,350
21.5,0.5,0
21,0.6,343
20.2,0.7,352
20.5,0.7,320
20.9,0.4,0
20.8,0.8,323
21.9,0.5,303
22.8,1.1,121
23.7,0.3,124
22.7,0.6,125
23.1,0.6,137
24.3,0.4,123
25.8,0,0
22.6,0.8,135
22.9,1.3,127
23,1.2,130
23.7,0.8,158
23.6,1.2,146
24.5,0.5,111
25.8,0,0
27.2,0.6,246
28.3,0.6,242
28,0.8,295
28.1,1,118
